date,warehouse,part_name,inventory_level
01-01-2023,WM1,air_filter,247
01-01-2023,WM1,brake_pad_left,239
01-01-2023,WM1,brake_pad_right,202
01-01-2023,WM1,engine_oil_filter,224
01-01-2023,WM1,fuel_filter,244
01-01-2023,WM1,wiper_blade,315
01-01-2023,WM2,air_filter,295
01-01-2023,WM2,brake_pad_left,230
01-01-2023,WM2,brake_pad_right,138
01-01-2023,WM2,engine_oil_filter,248
01-01-2023,WM2,fuel_filter,229
01-01-2023,WM2,wiper_blade,208
01-01-2023,WM3,air_filter,241
01-01-2023,WM3,brake_pad_left,236
01-01-2023,WM3,brake_pad_right,189
01-01-2023,WM3,engine_oil_filter,273
01-01-2023,WM3,fuel_filter,200
01-01-2023,WM3,wiper_blade,198
01-01-2023,WM4,air_filter,201
01-01-2023,WM4,brake_pad_left,345
01-01-2023,WM4,brake_pad_right,174
01-01-2023,WM4,engine_oil_filter,153
01-01-2023,WM4,fuel_filter,240
01-01-2023,WM4,wiper_blade,265
02-01-2023,WM1,air_filter,216
02-01-2023,WM1,brake_pad_left,221
02-01-2023,WM1,brake_pad_right,185
02-01-2023,WM1,engine_oil_filter,239
02-01-2023,WM1,fuel_filter,271
02-01-2023,WM1,wiper_blade,318
02-01-2023,WM2,air_filter,155
02-01-2023,WM2,brake_pad_left,234
02-01-2023,WM2,brake_pad_right,306
02-01-2023,WM2,engine_oil_filter,124
02-01-2023,WM2,fuel_filter,152
02-01-2023,WM2,wiper_blade,258
02-01-2023,WM3,air_filter,237
02-01-2023,WM3,brake_pad_left,193
02-01-2023,WM3,brake_pad_right,153
02-01-2023,WM3,engine_oil_filter,273
02-01-2023,WM3,fuel_filter,225
02-01-2023,WM3,wiper_blade,162
02-01-2023,WM4,air_filter,274
02-01-2023,WM4,brake_pad_left,260
02-01-2023,WM4,brake_pad_right,179
02-01-2023,WM4,engine_oil_filter,244
02-01-2023,WM4,fuel_filter,216
02-01-2023,WM4,wiper_blade,274
03-01-2023,WM1,air_filter,215
03-01-2023,WM1,brake_pad_left,214
03-01-2023,WM1,brake_pad_right,187
03-01-2023,WM1,engine_oil_filter,205
03-01-2023,WM1,fuel_filter,291
03-01-2023,WM1,wiper_blade,213
03-01-2023,WM2,air_filter,210
03-01-2023,WM2,brake_pad_left,219
03-01-2023,WM2,brake_pad_right,284
03-01-2023,WM2,engine_oil_filter,185
03-01-2023,WM2,fuel_filter,223
03-01-2023,WM2,wiper_blade,308
03-01-2023,WM3,air_filter,248
03-01-2023,WM3,brake_pad_left,296
03-01-2023,WM3,brake_pad_right,196
03-01-2023,WM3,engine_oil_filter,250
03-01-2023,WM3,fuel_filter,177
03-01-2023,WM3,wiper_blade,168
03-01-2023,WM4,air_filter,272
03-01-2023,WM4,brake_pad_left,246
03-01-2023,WM4,brake_pad_right,223
03-01-2023,WM4,engine_oil_filter,324
03-01-2023,WM4,fuel_filter,220
03-01-2023,WM4,wiper_blade,265
04-01-2023,WM1,air_filter,173
04-01-2023,WM1,brake_pad_left,191
04-01-2023,WM1,brake_pad_right,212
04-01-2023,WM1,engine_oil_filter,297
04-01-2023,WM1,fuel_filter,272
04-01-2023,WM1,wiper_blade,275
04-01-2023,WM2,air_filter,209
04-01-2023,WM2,brake_pad_left,262
04-01-2023,WM2,brake_pad_right,215
04-01-2023,WM2,engine_oil_filter,245
04-01-2023,WM2,fuel_filter,276
04-01-2023,WM2,wiper_blade,248
04-01-2023,WM3,air_filter,215
04-01-2023,WM3,brake_pad_left,251
04-01-2023,WM3,brake_pad_right,234
04-01-2023,WM3,engine_oil_filter,330
04-01-2023,WM3,fuel_filter,259
04-01-2023,WM3,wiper_blade,186
04-01-2023,WM4,air_filter,208
04-01-2023,WM4,brake_pad_left,229
04-01-2023,WM4,brake_pad_right,268
04-01-2023,WM4,engine_oil_filter,210
04-01-2023,WM4,fuel_filter,227
